t,label,x_kf_acc,y_kf_acc,z_kf_acc,x_kf_lin,y_kf_lin,z_kf_lin,x_kf,y_kf,z_kf,acc_mag,lin_acc_mag,magnetometer_mag,pressure_hpa,x_kf_acc_mean,x_kf_acc_std,x_kf_acc_min,x_kf_acc_max,x_kf_acc_median,x_kf_acc_skew,x_kf_acc_kurt,y_kf_acc_mean,y_kf_acc_std,y_kf_acc_min,y_kf_acc_max,y_kf_acc_median,y_kf_acc_skew,y_kf_acc_kurt,z_kf_acc_mean,z_kf_acc_std,z_kf_acc_min,z_kf_acc_max,z_kf_acc_median,z_kf_acc_skew,z_kf_acc_kurt,x_kf_lin_mean,x_kf_lin_std,x_kf_lin_min,x_kf_lin_max,x_kf_lin_median,x_kf_lin_skew,x_kf_lin_kurt,y_kf_lin_mean,y_kf_lin_std,y_kf_lin_min,y_kf_lin_max,y_kf_lin_median,y_kf_lin_skew,y_kf_lin_kurt,z_kf_lin_mean,z_kf_lin_std,z_kf_lin_min,z_kf_lin_max,z_kf_lin_median,z_kf_lin_skew,z_kf_lin_kurt,x_kf_mean,x_kf_std,x_kf_min,x_kf_max,x_kf_median,x_kf_skew,x_kf_kurt,y_kf_mean,y_kf_std,y_kf_min,y_kf_max,y_kf_median,y_kf_skew,y_kf_kurt,z_kf_mean,z_kf_std,z_kf_min,z_kf_max,z_kf_median,z_kf_skew,z_kf_kurt,acc_mag_mean,acc_mag_std,acc_mag_min,acc_mag_max,acc_mag_median,acc_mag_skew,acc_mag_kurt,lin_acc_mag_mean,lin_acc_mag_std,lin_acc_mag_min,lin_acc_mag_max,lin_acc_mag_median,lin_acc_mag_skew,lin_acc_mag_kurt,magnetometer_mag_mean,magnetometer_mag_std,magnetometer_mag_min,magnetometer_mag_max,magnetometer_mag_median,magnetometer_mag_skew,magnetometer_mag_kurt,pressure_hpa_mean,pressure_hpa_std,pressure_hpa_min,pressure_hpa_max,pressure_hpa_median,pressure_hpa_skew,pressure_hpa_kurt
0,cycling,2.07535,1.97781,9.34139,-0.0119,0.02756,-0.01911,6.96725,28.44074,-44.1052,9.771406098955257,0.03558589186742409,52.940409248041334,1007.98,2.07535,0.8938132952599032,2.07535,2.07535,2.07535,0.1365160817039854,0.4261662390194221,1.97781,0.5672427509438142,1.97781,1.97781,1.97781,-0.3085971384960278,0.4621714550853749,9.34139,0.9632197066321544,9.34139,9.34139,9.34139,0.24906143400341774,0.43939394716941665,-0.0119,0.24045283806018086,-0.0119,-0.0119,-0.0119,-0.10732484551563927,1.705397161887776,0.02756,0.2868726269284749,0.02756,0.02756,0.02756,-0.04032155765644396,1.8661075763127335,-0.01911,0.2752160289487881,-0.01911,-0.01911,-0.01911,0.02485176849916813,1.972343711212211,6.96725,6.781964941571034,6.96725,6.96725,6.96725,0.025552781028128017,0.9097590340915741,28.44074,5.986580658105568,28.44074,28.44074,28.44074,0.04972816224187238,0.6321437875365356,-44.1052,7.827431498388775,-44.1052,-44.1052,-44.1052,0.14993678076235073,0.6671480002319274,9.771406098955257,0.17910916048221492,9.771406098955257,9.771406098955257,9.771406098955257,-0.1868520619633583,1.000614402122507,0.03558589186742409,0.27244035139257905,0.03558589186742409,0.03558589186742409,0.03558589186742409,1.3438543734317383,2.484776499362366,52.940409248041334,4.91545561976812,52.940409248041334,52.940409248041334,52.940409248041334,0.3711606233378019,1.9583464298295237,1007.98,0.047941463357866386,1007.98,1007.98,1007.98,-0.1309917017706992,-0.5691973606701898
1,cycling,1.74054,0.87103,9.55546,0.03803,0.03223,-0.06702,7.39411,36.55709,-38.77597,9.751665937884665,0.08352684718101121,53.802133242103885,1007.97,1.9079449999999998,0.2367464214090678,1.74054,2.07535,1.9079449999999998,0.1365160817039854,0.4261662390194221,1.42442,0.7826116432816471,0.87103,1.97781,1.42442,-0.3085971384960278,0.4621714550853749,9.448425,0.1513703486486039,9.34139,9.55546,9.448425,0.24906143400341774,0.43939394716941665,0.013065,0.035305841584644324,-0.0119,0.03803,0.013065,-0.10732484551563927,1.705397161887776,0.029895,0.003302188668141177,0.02756,0.03223,0.029895,-0.04032155765644396,1.8661075763127335,-0.043065,0.03387748588664749,-0.06702,-0.01911,-0.043065,0.02485176849916813,1.972343711212211,7.180680000000001,0.3018356006172897,6.96725,7.39411,7.180680000000001,0.025552781028128017,0.9097590340915741,32.498915000000004,5.739126123483434,28.44074,36.55709,32.498915000000004,0.04972816224187238,0.6321437875365356,-41.440585,3.768334671502784,-44.1052,-38.77597,-41.440585,0.14993678076235073,0.6671480002319274,9.76153601841996,0.01395840175472972,9.751665937884665,9.771406098955257,9.76153601841996,-0.1868520619633583,1.000614402122507,0.05955636952421765,0.033899374598798694,0.03558589186742409,0.08352684718101121,0.05955636952421765,1.3438543734317383,2.484776499362366,53.371271245072606,0.6093308797127885,52.940409248041334,53.802133242103885,53.371271245072606,0.3711606233378019,1.9583464298295237,1007.975,0.007071067811859044,1007.97,1007.98,1007.975,-0.1309917017706992,-0.5691973606701898
2,cycling,1.744,1.8166,9.40285,-0.03505,-0.08216,-0.02566,4.54212,32.40477,-38.64015,9.734226198445361,0.09293655739266438,50.63359719464735,1007.96,1.8532966666666664,0.19231160920062335,1.74054,2.07535,1.744,1.7314200830128719,0.4261662390194221,1.5551466666666667,0.5979204597882007,0.87103,1.97781,1.8166,-1.5914800476390505,0.4621714550853749,9.433233333333334,0.11022182829790689,9.34139,9.55546,9.40285,1.146195519929967,0.43939394716941665,-0.0029733333333333326,0.0373488371081796,-0.03505,0.03803,-0.0119,1.0140957766182535,1.705397161887776,-0.007456666666666664,0.06473710862660868,-0.08216,0.03223,0.02756,-1.7219162507866501,1.8661075763127335,-0.037263333333333336,0.02597729842253296,-0.06702,-0.01911,-0.02566,-1.608992405476987,1.972343711212211,6.30116,1.5382518181689244,4.54212,7.39411,6.96725,-1.5832121928832117,0.9097590340915741,32.467533333333336,4.058538992991608,28.44074,36.55709,32.40477,0.06957367067799494,0.6321437875365356,-40.507106666666665,3.116780148588176,-44.1052,-38.64015,-38.77597,-1.7283513134653452,0.6671480002319274,9.752432745095094,0.01860180758568619,9.734226198445361,9.771406098955257,9.751665937884665,0.18518463214191086,1.000614402122507,0.07068309881369989,0.030757049812020414,0.03558589186742409,0.09293655739266438,0.08352684718101121,-1.5514591610077184,2.484776499362366,52.458713228264195,1.638269960235407,50.63359719464735,53.802133242103885,52.940409248041334,-1.2087360139283674,1.9583464298295237,1007.9699999999999,0.009999999999990905,1007.96,1007.98,1007.97,6.056922586328439e-15,-0.5691973606701898
3,cycling,1.48942,2.55888,9.30488,0.09292,-0.00685,-0.04652,5.26946,27.45214,-40.43549,9.764580411118546,0.1041400945841706,49.15705494444617,1007.95,1.7623275,0.24032768010572558,1.48942,2.07535,1.74227,0.4960686059683163,1.636340605973782,1.80608,0.7001495568329194,0.87103,2.55888,1.897205,-0.7494673668190147,1.5705589027567406,9.401145,0.11053451421765619,9.30488,9.55546,9.37212,1.2683123920186885,1.3648165611302456,0.021,0.05682288212800661,-0.03505,0.09292,0.013065,0.600441036772884,-1.3885610215258186,-0.007304999999999999,0.0528584982129963,-0.08216,0.03223,0.010355,-1.4230841124876872,1.5801831439028629,-0.0395775,0.021709479304365332,-0.06702,-0.01911,-0.03609,-0.6340628210511713,-1.7576670739428977,6.043235,1.3577850811401149,4.54212,7.39411,6.118354999999999,-0.15759192084511,-4.187710082369753,31.213685,4.1556830658468975,27.45214,36.55709,30.422755000000002,0.7404458987480101,-1.4678191140112684,-40.489202500000005,2.5450922510768965,-44.1052,-38.64015,-39.60573,-1.452968695504143,1.695521111649498,9.755469661600957,0.016357758946677094,9.734226198445361,9.771406098955257,9.758123174501605,-0.7369307622793893,-0.6848576639803596,0.07904734775631757,0.030174603840355446,0.03558589186742409,0.1041400945841706,0.0882317022868378,-1.5414585332474229,2.5912692606579206,51.63329865730969,2.1247405718147894,49.15705494444617,53.802133242103885,51.78700322134434,-0.26047491484367297,-3.0911086466710636,1007.965,0.012909944487346314,1007.95,1007.98,1007.965,1.867086498303321e-15,-1.1999999999998128
4,cycling,1.01215,1.15068,9.6382,-0.07326,-0.1455,-0.01792,-2.58377,34.08049,-39.4442,9.75927309408339,0.16388533796529817,52.19195895627026,1007.94,1.612292,0.394805397214881,1.01215,2.07535,1.74054,-0.7740654837326454,1.0807233607678401,1.675,0.673473743697555,0.87103,2.55888,1.8166,0.07819890258943224,-1.2401834335770008,9.448556,0.14283705307097275,9.30488,9.6382,9.40285,0.5361861271020967,-2.0347713273606054,0.0021479999999999997,0.06479675508850732,-0.07326,0.09292,-0.0119,0.476431102751728,-0.6371463400019147,-0.034943999999999996,0.07690960427670915,-0.1455,0.03223,-0.00685,-0.8124676131180513,-1.1902300859725088,-0.035246,0.021149127168750958,-0.06702,-0.01792,-0.02566,-1.0231241836633018,-0.4913406556895599,4.3178339999999995,4.033327199587209,-2.58377,7.39411,5.26946,-1.7790884907148947,3.3762177486725116,31.787045999999997,3.8204699304444207,27.45214,36.55709,32.40477,0.014220473019231492,-1.9916304325017364,-40.280202,2.2531149482150252,-44.1052,-38.64015,-39.4442,-1.7327661810424078,3.0054621413650366,9.756230348097443,0.014267986124463483,9.734226198445361,9.771406098955257,9.75927309408339,-0.9530429655733108,0.8330330831523239,0.09601494579811369,0.04606926257529647,0.03558589186742409,0.16388533796529817,0.09293655739266438,0.3857877289320406,1.5966313293525722,51.745030717101805,1.8569631496246295,49.15705494444617,53.802133242103885,52.19195895627026,-0.5338219765075407,-1.0227063275080504,1007.96,0.015811388300827515,1007.94,1007.98,1007.96,-1.2805170774026197e-14,-1.2000000000003415
5,cycling,-0.08139,0.12563,9.68052,-0.01272,-0.01115,-0.08753,4.86882,38.23948,-35.01815,9.68167726684793,0.08914943521974775,52.079113551262566,1007.92,1.3300116666666666,0.7763956213533578,-0.08139,2.07535,1.61498,-1.4650251848332634,2.1215912766173055,1.4167716666666665,0.8734670798471266,0.12563,2.55888,1.4836399999999998,-0.2716731477384154,-0.5992420978303201,9.487216666666667,0.15902773929936417,9.30488,9.68052,9.479155,0.0909289231188555,-2.3692077662373734,-0.00033000000000000016,0.05827296525834257,-0.07326,0.09292,-0.012310000000000001,0.6581323028703995,0.27964165095005455,-0.03097833333333333,0.06947250432125407,-0.1455,0.03223,-0.009000000000000001,-1.0388261561079177,-0.027542570952866424,-0.04396,0.028520715979792652,-0.08753,-0.01792,-0.03609,-0.722325396201472,-1.1298279622701333,4.409665,3.6145235141730647,-2.58377,7.39411,5.06914,-1.8930781842792939,4.062953286922508,32.862451666666665,4.314600384616942,27.45214,38.23948,33.24263,-0.1389886008731286,-1.6777178819488736,-39.403193333333334,2.9455197816933185,-44.1052,-35.01815,-39.110085,-0.23533252628192547,1.7489844913304644,9.743804834555858,0.03300334321051515,9.68167726684793,9.771406098955257,9.755469515984029,-1.7233214933772132,3.0336566993052103,0.0948706940350527,0.041300816408019095,0.03558589186742409,0.16388533796529817,0.09104299630620606,0.508846888757764,2.1858770573441695,51.80071118946193,1.666508806236721,49.15705494444617,53.802133242103885,52.13553625376642,-0.679762104306826,-0.03671825428760064,1007.9533333333334,0.021602468994711813,1007.92,1007.98,1007.955,-0.4629100498913577,-0.29999999998840227
6,cycling,-7.01971,-2.69308,4.63795,-0.37303,-0.19396,-0.15799,27.60011,41.75374,-5.31563,8.834001843615384,0.449146638192918,50.33286002500355,1007.91,0.13719428571428566,3.234504330521433,-7.01971,2.07535,1.48942,-2.398898022352429,5.919571236083168,0.8296499999999999,1.7460728058321813,-2.69308,2.55888,1.15068,-1.594856683712889,2.9283701710850707,8.794464285714286,1.838590732262595,4.63795,9.68052,9.40285,-2.6111362594627696,6.861020952806207,-0.05357285714285714,0.1505768738014225,-0.37303,0.09292,-0.01272,-1.9512168455736008,4.541671104824819,-0.05426142857142857,0.0884123391517593,-0.19396,0.03223,-0.01115,-0.7178120414627015,-1.1225510136503438,-0.06024999999999999,0.05035283573609997,-0.15799,-0.01792,-0.04652,-1.3979734055179192,1.813116691584358,7.722585714285715,9.365651204059183,-2.58377,27.60011,5.26946,1.899738557712504,4.765789455454685,34.13263571428571,5.177520610249843,27.45214,41.75374,34.08049,0.06464736434966432,-1.021205429465337,-34.53354142857143,13.161483200427966,-44.1052,-5.31563,-38.77597,2.4149374336272977,6.101936881557599,9.613832978707219,0.34519047940965575,8.834001843615384,9.771406098955257,9.751665937884665,-2.6047026753190434,6.82693507105275,0.145481543200462,0.1391102832384464,0.03558589186742409,0.449146638192918,0.09293655739266438,2.257775245514293,5.422128334171063,51.591018165967874,1.6193129663847146,49.15705494444617,53.802133242103885,52.079113551262566,-0.20265872041782726,-0.9308912960350526,1007.9471428571429,0.02563479777850205,1007.91,1007.98,1007.95,-0.3052915425442663,-1.1697542533076686
7,cycling,-6.73495,-5.80862,0.79166,0.44597,-0.37871,0.01915,21.49254,44.85034,18.76265,8.9289609340897,0.5853863916252239,53.15561408534098,1007.91,-0.7218237500000001,3.856259860523397,-7.01971,2.07535,1.250785,-1.3256984706994415,-0.1733601265854143,-0.00013375000000004356,2.849835120002246,-5.80862,2.55888,1.0108549999999998,-1.5045396611503523,1.6613586724144673,7.79411375,3.301985596697571,0.79166,9.68052,9.37212,-1.825492541524211,2.4691669074773768,0.008870000000000003,0.22500493721567216,-0.37303,0.44597,-0.012310000000000001,0.4643843322847043,2.84160458577414,-0.0948175,0.14091991968591847,-0.37871,0.03223,-0.046655,-1.2818746403410783,1.3532093047473286,-0.050324999999999995,0.054417386139778104,-0.15799,0.01915,-0.03609,-1.0512188508582303,1.4372219655626972,9.44383,9.944149182583985,-2.58377,27.60011,6.118354999999999,1.1010759525900624,0.4311075296631979,35.47234875,6.110305756072951,27.45214,44.85034,35.31879,0.16694150067140434,-0.958293802794059,-27.8715175,22.439669460269144,-44.1052,18.76265,-38.70806,1.7223489126664688,2.0380542888517255,9.528223973130029,0.4009555203798731,8.834001843615384,9.771406098955257,9.742946068165013,-1.4371491423060436,0.08192324075575262,0.20046964925355726,0.2019323672581087,0.03558589186742409,0.5853863916252239,0.0985383259884175,1.4518005522457782,0.6833248384704954,51.786592655889514,1.5979903558024766,49.15705494444617,53.802133242103885,52.13553625376642,-0.48570903680766775,-0.9110095486555883,1007.9425,0.027124053637261784,1007.91,1007.98,1007.945,-0.007158766161507044,-1.647959279858808
8,cycling,-4.47748,-8.49195,1.48249,0.01775,0.06008,-0.07202,4.98342,55.06963,12.84922,9.713846743334999,0.09545443572720966,56.76795819687106,1007.9,-1.1391188888888888,3.818260689680723,-7.01971,2.07535,1.01215,-0.8817923483888525,-1.2751986334127423,-0.9436688888888889,3.888276251716319,-8.49195,2.55888,0.87103,-1.2172756105338438,0.2667545106342627,7.092822222222222,3.7371792214308432,0.79166,9.68052,9.34139,-1.1032252154573148,-0.7195465151050229,0.00985666666666667,0.21049365940569323,-0.37303,0.44597,-0.0119,0.46050743838878827,3.310371866198662,-0.07760666666666666,0.14156989740054204,-0.37871,0.06008,-0.01115,-1.3277583098958332,1.4942359586092766,-0.052735555555555556,0.05141393223415009,-0.15799,0.01915,-0.04652,-0.8827480687545559,1.3460847717635094,8.94822888888889,9.41997474767375,-2.58377,27.60011,5.26946,1.2789904484922834,1.0272731136662652,37.64982444444445,8.679945879881844,27.45214,55.06963,36.55709,0.908344580695119,0.807148599493212,-23.34699111111111,24.9967692151233,-44.1052,18.76265,-38.64015,1.039360789134713,-0.8429334632271386,9.548848725375025,0.38012903967497075,8.834001843615384,9.771406098955257,9.734226198445361,-1.613815674396711,0.8074601143328165,0.1888012921950742,0.19210661320254957,0.03558589186742409,0.5853863916252239,0.09545443572720966,1.6310440141081717,1.3906958329282215,52.340077715998575,2.2341638113527797,49.15705494444617,56.76795819687106,52.19195895627026,0.6538657315299337,0.9857905596255685,1007.9377777777778,0.02905932629033773,1007.9,1007.98,1007.94,0.12532696927711315,-1.6228358725792726
9,cycling,-5.20767,-8.29535,0.79388,0.01238,-0.06008,-0.1894,12.09159,52.14841,17.75554,9.826642555104973,0.1990859884572493,56.39966679819837,1007.89,-1.545974,3.822894698527108,-7.01971,2.07535,0.46538000000000007,-0.5259244697334868,-1.872066333339585,-1.6788370000000001,4.340916842747112,-8.49195,2.55888,0.49833,-0.788831113825972,-1.1856476045741953,6.462928,4.04751053902629,0.79166,9.68052,9.323135,-0.6851488028112125,-1.7348609849369143,0.010109000000000003,0.1984569294694555,-0.37303,0.44597,0.00023999999999999976,0.47009479818662997,3.7847820722642616,-0.075854,0.13358840287323678,-0.37871,0.06008,-0.035615,-1.414536337191103,2.009104751066558,-0.066402,0.06494150595386249,-0.1894,0.01915,-0.05677,-0.8708445373637118,0.15728628716883314,9.262565,8.936691167079744,-2.58377,27.60011,6.118354999999999,1.1685740394917312,1.022791600226853,39.099683,9.380356357966662,27.45214,55.06963,37.398285,0.5500563491615698,-0.6978200100697504,-19.236738,26.913821370603863,-44.1052,18.76265,-36.82915,0.6366852059465883,-1.7786923072977439,9.576628108348022,0.36899821816585043,8.834001843615384,9.826642555104973,9.742946068165013,-1.7483547938225033,1.4273301590879999,0.1898297618212917,0.18114904979317034,0.03558589186742409,0.5853863916252239,0.09979726515569012,1.659849795105359,1.7455792778723804,52.74603662421855,2.4667599228396573,49.15705494444617,56.76795819687106,52.5661841021558,0.41554871283678413,-0.44200945021257204,1007.933,0.031287200080762474,1007.89,1007.98,1007.9300000000001,0.16978653493211865,-1.4775524297550564
