t,label,x_kf_acc,y_kf_acc,z_kf_acc,x_kf_lin,y_kf_lin,z_kf_lin,x_kf,y_kf,z_kf,acc_mag,lin_acc_mag,magnetometer_mag,pressure_hpa,x_kf_acc_mean,x_kf_acc_std,x_kf_acc_min,x_kf_acc_max,x_kf_acc_median,x_kf_acc_skew,x_kf_acc_kurt,y_kf_acc_mean,y_kf_acc_std,y_kf_acc_min,y_kf_acc_max,y_kf_acc_median,y_kf_acc_skew,y_kf_acc_kurt,z_kf_acc_mean,z_kf_acc_std,z_kf_acc_min,z_kf_acc_max,z_kf_acc_median,z_kf_acc_skew,z_kf_acc_kurt,x_kf_lin_mean,x_kf_lin_std,x_kf_lin_min,x_kf_lin_max,x_kf_lin_median,x_kf_lin_skew,x_kf_lin_kurt,y_kf_lin_mean,y_kf_lin_std,y_kf_lin_min,y_kf_lin_max,y_kf_lin_median,y_kf_lin_skew,y_kf_lin_kurt,z_kf_lin_mean,z_kf_lin_std,z_kf_lin_min,z_kf_lin_max,z_kf_lin_median,z_kf_lin_skew,z_kf_lin_kurt,x_kf_mean,x_kf_std,x_kf_min,x_kf_max,x_kf_median,x_kf_skew,x_kf_kurt,y_kf_mean,y_kf_std,y_kf_min,y_kf_max,y_kf_median,y_kf_skew,y_kf_kurt,z_kf_mean,z_kf_std,z_kf_min,z_kf_max,z_kf_median,z_kf_skew,z_kf_kurt,acc_mag_mean,acc_mag_std,acc_mag_min,acc_mag_max,acc_mag_median,acc_mag_skew,acc_mag_kurt,lin_acc_mag_mean,lin_acc_mag_std,lin_acc_mag_min,lin_acc_mag_max,lin_acc_mag_median,lin_acc_mag_skew,lin_acc_mag_kurt,magnetometer_mag_mean,magnetometer_mag_std,magnetometer_mag_min,magnetometer_mag_max,magnetometer_mag_median,magnetometer_mag_skew,magnetometer_mag_kurt,pressure_hpa_mean,pressure_hpa_std,pressure_hpa_min,pressure_hpa_max,pressure_hpa_median,pressure_hpa_skew,pressure_hpa_kurt
0,park,-2.33306,3.03887,8.90671,-0.88444,-0.61054,0.12743,-3.63134,-29.36483,-32.63525,9.695740449527309,1.082234544865391,44.05155404394946,1007.71,-2.33306,1.3692818555948676,-2.33306,-2.33306,-2.33306,0.24292930702558457,1.5172061831902548,3.03887,1.6962821864930562,3.03887,3.03887,3.03887,-0.12934770027752385,0.48341258695724704,8.90671,1.0160523309691925,8.90671,8.90671,8.90671,-0.5487938209232497,1.8812292901656675,-0.88444,0.12199101412364997,-0.88444,-0.88444,-0.88444,-0.09082822893591772,3.426354240309391,-0.61054,0.10259433735820526,-0.61054,-0.61054,-0.61054,-0.8136507588983641,3.9065128601784274,0.12743,0.15860169472779417,0.12743,0.12743,0.12743,0.47246596576530053,4.234801503310734,-3.63134,7.609727537057298,-3.63134,-3.63134,-3.63134,-0.13573942947742154,1.3306242355970743,-29.36483,8.708966148063233,-29.36483,-29.36483,-29.36483,0.22637648992209408,0.5473362288665057,-32.63525,5.603027444248859,-32.63525,-32.63525,-32.63525,0.29520821156366245,1.7867075795014546,9.695740449527309,0.3282918559019806,9.695740449527309,9.695740449527309,9.695740449527309,-1.2064145350735667,6.453204787001559,1.082234544865391,0.13994042201600673,1.082234544865391,1.082234544865391,1.082234544865391,1.7027471222792023,4.156116220922575,44.05155404394946,3.066855642147979,44.05155404394946,44.05155404394946,44.05155404394946,-0.27457027236140535,1.5009788317205186,1007.71,0.0391384295199131,1007.71,1007.71,1007.71,0.009969978498776542,-0.6072293814521889
1,park,0.57508,1.756,9.67702,0.05273,-0.19002,0.11315,-16.05655,1.19755,-43.62995,9.85185104875221,0.22735649495890808,46.50612283245616,1007.73,-0.87899,2.0563655146398463,-2.33306,0.57508,-0.87899,0.24292930702558457,1.5172061831902548,2.397435,0.9071260763807865,1.756,3.03887,2.397435,-0.12934770027752385,0.48341258695724704,9.291865000000001,0.544691424615809,8.90671,9.67702,9.291865000000001,-0.5487938209232497,1.8812292901656675,-0.415855,0.6626792621245967,-0.88444,0.05273,-0.415855,-0.09082822893591772,3.426354240309391,-0.40027999999999997,0.297352543624567,-0.61054,-0.19002,-0.40027999999999997,-0.8136507588983641,3.9065128601784274,0.12029,0.01009748483534389,0.11315,0.12743,0.12029,0.47246596576530053,4.234801503310734,-9.843945000000001,8.785950248666904,-16.05655,-3.63134,-9.843945000000001,-0.13573942947742154,1.3306242355970743,-14.08364,21.610866147200117,-29.36483,1.19755,-14.08364,0.22637648992209408,0.5473362288665057,-38.1326,7.774426927111738,-43.62995,-32.63525,-38.1326,0.29520821156366245,1.7867075795014546,9.773795749139758,0.11038686332702335,9.695740449527309,9.85185104875221,9.773795749139758,-1.2064145350735667,6.453204787001559,0.6547955199121496,0.6044900661764059,0.22735649495890808,1.082234544865391,0.6547955199121496,1.7027471222792023,4.156116220922575,45.27883843820281,1.7356422352419325,44.05155404394946,46.50612283245616,45.27883843820281,-0.27457027236140535,1.5009788317205186,1007.72,0.014142135623718088,1007.71,1007.73,1007.72,0.009969978498776542,-0.6072293814521889
2,park,1.97301,1.33313,9.49051,0.37563,-0.08107,-0.13985,-7.26415,14.00021,-44.94498,9.784670874234862,0.40893552584729054,47.63218431341355,1007.76,0.07167666666666661,2.1967295915140155,-2.33306,1.97301,0.57508,-0.9770675441268384,1.5172061831902548,2.042666666666667,0.8882682985637469,1.33313,3.03887,1.756,1.3010082655639559,0.48341258695724704,9.358080000000001,0.4018677054703446,8.90671,9.67702,9.49051,-1.3218776256349511,1.8812292901656675,-0.15202666666666667,0.6545136137876227,-0.88444,0.37563,0.05273,-1.269995503672668,3.426354240309391,-0.2938766666666666,0.27959663022528247,-0.61054,-0.08107,-0.19002,-1.440900867720829,3.9065128601784274,0.033576666666666664,0.1503615181265916,-0.13985,0.12743,0.11315,-1.7144922951069972,4.234801503310734,-8.984013333333335,6.388654654935838,-16.05655,-3.63134,-7.26415,-1.1236321609519364,1.3306242355970743,-4.722356666666667,22.280386997467826,-29.36483,14.00021,1.19755,-1.1112425550564649,0.5473362288665057,-40.403393333333334,6.759464779894439,-44.94498,-32.63525,-43.62995,1.658592581861174,1.7867075795014546,9.777420790838127,0.07830742352762085,9.695740449527309,9.85185104875221,9.784670874234862,-0.41306060673640366,6.453204787001559,0.5728421885571965,0.4503922352944175,0.22735649495890808,1.082234544865391,0.40893552584729054,1.420754137161996,4.156116220922575,46.06328706327306,1.8309303428862636,44.05155404394946,47.63218431341355,46.50612283245616,-1.0247185228399132,1.5009788317205186,1007.7333333333332,0.025166114784212944,1007.71,1007.76,1007.73,0.5855827262818267,-0.6072293814521889
3,park,0.75951,2.86972,8.72367,-0.10067,0.19778,-0.36202,-7.18801,8.69092,-46.89664,9.214910015154787,0.42462908249435766,48.23374774466628,1007.79,0.24363499999999996,1.826296600345446,-2.33306,1.97301,0.667295,-1.2872659648586067,2.4131910341631624,2.2494300000000003,0.8348760492033135,1.33313,3.03887,2.31286,-0.18194118575651708,-4.576141404910496,9.1994775,0.45638154413275733,8.72367,9.67702,9.19861,0.005184116100874899,-4.450234876128629,-0.1391875,0.5350246946559258,-0.88444,0.37563,-0.023969999999999998,-1.1767973901260504,1.9615012026427685,-0.1709625,0.33548137537723316,-0.61054,0.19778,-0.135545,-0.6017510363244226,1.2077105668630068,-0.0653225,0.23280157092468254,-0.36202,0.12743,-0.01335,-0.7231400553494702,-1.9530023761978494,-8.5350125,5.293046935369552,-16.05655,-3.63134,-7.22608,-1.3626715307417137,2.5725333507351174,-1.3690375000000006,19.38872767629235,-29.36483,14.00021,4.944235,-1.5802324544620336,2.548187760942863,-42.026705,6.403187160232526,-46.89664,-32.63525,-44.287465,1.7365256413064758,3.197212054011235,9.636793096917291,0.28843132326949283,9.214910015154787,9.85185104875221,9.740205661881085,-1.7143311990932164,3.0236453182307415,0.5357889120414868,0.3751362751648169,0.22735649495890808,1.082234544865391,0.41678230417082407,1.6468947293517517,3.100071547776899,46.605902233621364,1.8473211702452348,44.05155404394946,48.23374774466628,47.06915357293485,-1.1921019370903647,1.0125051530879094,1007.7475,0.03499999999998351,1007.71,1007.79,1007.745,0.3206997084547877,-1.5976676384662465
4,park,1.4778,-0.9421,10.60273,-0.22434,0.1918,0.42855,-14.64758,24.84508,-39.02854,10.746596144961435,0.5203563952715484,48.52892472118458,1007.8,0.490468,1.6751573370194217,-2.33306,1.97301,0.75951,-1.619331658200912,3.0077301785720727,1.6111239999999998,1.5999800815416423,-0.9421,3.03887,1.756,-1.1962006628603405,1.37846734130891,9.480128,0.7416445247691101,8.72367,10.60273,9.49051,0.8181160630763027,0.3677137921968227,-0.15621800000000002,0.4649072569556212,-0.88444,0.37563,-0.10067,-0.9402940600064149,1.7176119938580758,-0.09841,0.33276138778409975,-0.61054,0.19778,-0.08107,-0.9573136510734752,0.5278842195554745,0.033451999999999996,0.2990475511018273,-0.36202,0.42855,0.11315,-0.06300510783651221,-0.20882729414181256,-9.757526000000002,5.337129910675775,-16.05655,-3.63134,-7.26415,-0.2863564282858015,-2.3971512713818903,3.873786,20.47872217546373,-29.36483,24.84508,8.69092,-1.2792612861721429,2.1286165190459876,-41.427071999999995,5.705120772619105,-46.89664,-32.63525,-43.62995,1.0669912104467791,0.3531738115032148,9.85875370652612,0.5556321015490895,9.214910015154787,10.746596144961435,9.784670874234862,1.040144928440075,2.412284840055188,0.5327024086874992,0.32495084431829196,0.22735649495890808,1.082234544865391,0.42462908249435766,1.6311020236825826,3.2399457980727697,46.990506731134005,1.816328639608464,44.05155404394946,48.52892472118458,47.63218431341355,-1.36788785170543,1.5119565949781861,1007.758,0.038340579025356716,1007.71,1007.8,1007.76,-0.1898487646680585,-2.1671525753115994
5,park,3.77339,-3.58427,7.95296,-0.16044,-0.17711,0.33092,-17.42801,32.30525,-38.3888,9.504474540267863,0.4081874472592218,53.113695743777804,1007.81,1.0376216666666667,2.0102697562010596,-2.33306,3.77339,1.118655,-0.6291489429167797,1.720557699358191,0.745225,2.558639380270303,-3.58427,3.03887,1.544565,-1.1295276604761115,0.42480601084803143,9.2256,0.9103495469323855,7.95296,10.60273,9.19861,0.19970789139408837,0.21188792800928744,-0.15692166666666665,0.4158292641657952,-0.88444,0.37563,-0.130555,-0.9385136637164812,2.2377354208213673,-0.11152666666666666,0.29935997499109107,-0.61054,0.19778,-0.12908999999999998,-0.7548112432471294,0.69531776416031,0.08302999999999999,0.2937540106279402,-0.36202,0.42855,0.12029,-0.5044730151282806,-0.6346944699434319,-11.035940000000002,5.709117154089588,-17.42801,-3.63134,-10.955865,0.13184571232685371,-2.3606994033795594,8.612363333333333,21.684721358960246,-29.36483,32.30525,11.345565,-1.101737249010846,1.5649208935269552,-40.92069333333333,5.251403483685735,-46.89664,-32.63525,-41.329245,0.6076208854276832,-0.3977992749241975,9.79970717881641,0.5175911324828962,9.214910015154787,10.746596144961435,9.740205661881085,1.3462875580035847,2.806568957257935,0.5119499151161196,0.2950566672948055,0.22735649495890808,1.082234544865391,0.41678230417082407,1.8633206392995467,4.1511815619059105,48.0110382332413,2.9812995593213762,44.05155404394946,53.113695743777804,47.93296602903992,0.7638723647328656,1.9812011614167215,1007.7666666666668,0.04033195589933789,1007.71,1007.81,1007.775,-0.4593030452122753,-1.7056906745486575
6,park,3.12344,-3.36936,9.68236,0.18154,-0.18556,0.61155,-16.46235,17.80748,-40.09966,10.717115256112532,0.664366380621416,46.86254414336144,1007.9633888888889,1.3355957142857144,1.9972915348779805,-2.33306,3.77339,1.4778,-0.865201596166555,1.2653246187022957,0.1574271428571429,2.8060780123255915,-3.58427,3.03887,1.33313,-0.5068333906507246,-1.7595041966869203,9.290851428571429,0.8487743067786739,7.95296,10.60273,9.49051,-0.0956176459681686,0.29928971123804404,-0.10856999999999999,0.40057479509657956,-0.88444,0.37563,-0.10067,-1.185648908696388,2.3082251817856116,-0.12210285714285714,0.27470587815057074,-0.61054,0.19778,-0.17711,-0.6025247455878373,0.9218365911060836,0.15853285714285711,0.33438643167819504,-0.36202,0.61155,0.12743,-0.3118233536074909,-0.5597231965864033,-11.81114142857143,5.600735935269069,-17.42801,-3.63134,-14.64758,0.48205487549495124,-1.9785812148904314,9.925951428571429,20.0981229505174,-29.36483,32.30525,14.00021,-1.3289059317305316,2.3038238706640697,-40.80340285714286,4.803887125480484,-46.89664,-32.63525,-40.09966,0.5159514532061222,0.06092623491640055,9.930765475572999,0.586075442011185,9.214910015154787,10.746596144961435,9.784670874234862,0.6587536555467921,-0.9520458887309118,0.5337236959025905,0.2754403386169601,0.22735649495890808,1.082234544865391,0.42462908249435766,1.4881784385094015,2.7281866291991164,47.84696764897275,2.7559432713737833,44.05155404394946,53.113695743777804,47.63218431341355,0.9856095051184357,2.5386330409134517,1007.7666666666668,0.04033195589933789,1007.71,1007.81,1007.775,-0.4593030452122753,-1.7056906745486575
7,park,3.67086,-2.5213,9.69725,-0.45637,0.29579,0.89287,-14.08877,23.44141,-33.6658,10.670933623263712,1.0454578604133216,43.374868674625404,1007.8,1.62750375,2.025086161319968,-2.33306,3.77339,1.7254049999999999,-0.9666594182564564,1.0427650589433322,-0.17741374999999998,2.7651678994537825,-3.58427,3.03887,0.19551499999999994,-0.11846841765305856,-2.0765955936550387,9.34165125,0.7988403887678598,7.95296,10.60273,9.583765,-0.32330673788776443,0.5492117960869497,-0.15204499999999999,0.3907145896211929,-0.88444,0.37563,-0.130555,-0.7301912276741902,0.8084401653468907,-0.06986624999999999,0.2941294787741082,-0.61054,0.29579,-0.12908999999999998,-0.5733462963519476,0.3073000015008669,0.250325,0.40403860734906444,-0.36202,0.89287,0.229175,0.07265012320813595,-0.3599222078319201,-12.095845,5.247429316483045,-17.42801,-3.63134,-14.368175,0.6801621683788402,-1.4023735328575857,11.61538375,19.211014120071802,-29.36483,32.30525,15.903845,-1.528623093356355,2.8204089208208973,-39.9112025,5.113584035462381,-46.89664,-32.63525,-39.564099999999996,0.16119120176661306,-1.117025325795538,10.02328649403434,0.6024087741689963,9.214910015154787,10.746596144961435,9.818260961493536,0.22864278883501324,-1.7850154427421605,0.5976904664664319,0.31267101699049954,0.22735649495890808,1.082234544865391,0.47249273888295307,0.8341709698113106,-0.6798602314216476,47.287955277179336,3.0016912012110866,43.374868674625404,53.113695743777804,47.2473642283875,0.7475684387956298,1.4333922900129257,1007.7714285714285,0.038913824205347815,1007.71,1007.81,1007.79,-0.7680250672642573,-1.1532929868288258
8,park,2.66933,-1.25583,10.69664,0.017033279620853086,-0.023539156398104263,-0.0027266635071090035,-15.86687,23.91318,-35.76784,11.095969490197781,0.1793284562556371,45.85778145064259,1007.8,1.7432622222222223,1.9258640737846597,-2.33306,3.77339,1.97301,-1.1550031973898585,1.5439560348370378,-0.29723777777777777,2.6114372483068484,-3.58427,3.03887,-0.9421,0.04713365856192611,-1.8034224312206557,9.492205555555556,0.8731420910583669,7.95296,10.69664,9.67702,-0.28077305121652146,-0.09678498744605961,-0.15204499999999999,0.3907145896211929,-0.88444,0.37563,-0.130555,-0.7301912276741902,0.8084401653468907,-0.06986624999999999,0.2941294787741082,-0.61054,0.29579,-0.12908999999999998,-0.5733462963519476,0.3073000015008669,0.250325,0.40403860734906444,-0.36202,0.89287,0.229175,0.07265012320813595,-0.3599222078319201,-12.51484777777778,5.066916722980499,-17.42801,-3.63134,-14.64758,0.8909608013936758,-0.9428822030502582,12.981805555555557,18.431878839057017,-29.36483,32.30525,17.80748,-1.699146928574519,3.3685976435439837,-39.450828888888886,4.978719085571722,-46.89664,-32.63525,-39.02854,-0.11781551702141957,-1.1914981941147844,10.142473493608055,0.6673710793874601,9.214910015154787,11.095969490197781,9.85185104875221,0.11216369055305112,-1.7140732207655878,0.5976904664664319,0.31267101699049954,0.22735649495890808,1.082234544865391,0.47249273888295307,0.8341709698113106,-0.6798602314216476,47.129047074230805,2.848007665312459,43.374868674625404,53.113695743777804,46.86254414336144,0.9335948728186843,1.8583929945075748,1007.775,0.037416573867723145,1007.71,1007.81,1007.795,-1.0035932349365093,-0.574927113703481
9,park,5.47771,-4.56954,7.83476,-0.11549,-0.09029,-1.37202,-11.7345,17.46393,-30.86264,10.595728710820223,1.3798293751765107,37.35224075024817,1007.79,2.116707,2.165977060256333,-2.33306,5.47771,2.32117,-0.6434619707523516,1.0487975190507655,-0.724468,2.808402979649941,-4.56954,3.03887,-1.098965,0.11914841012311692,-1.6441933642959126,9.326461,0.9759001589467142,7.83476,10.69664,9.583765,-0.2104953647073632,-0.7535117104386977,-0.14798333333333333,0.3656830983925836,-0.88444,0.37563,-0.11549,-0.7941581276427413,1.297828346357586,-0.07213555555555555,0.2752171492254394,-0.61054,0.29579,-0.09029,-0.558760870007096,0.7040609999204326,0.07006444444444446,0.6597621599506733,-1.37202,0.89287,0.12743,-1.2921518152528175,2.393863860765257,-12.436813,4.783504166633611,-17.42801,-3.63134,-14.368175,0.8545133776421808,-0.7078416901828791,13.430018,17.43544842454067,-29.36483,32.30525,17.635705,-1.8288811833857421,4.029687823971613,-38.59201,5.423021292153995,-46.89664,-30.86264,-38.70867,-0.12654110340777677,-1.1810238328514697,10.187799015329272,0.6453224451181419,9.214910015154787,11.095969490197781,10.223789879786217,-0.10853515734365053,-1.6333586679616177,0.6845947896564406,0.3918086545236853,0.22735649495890808,1.3798293751765107,0.5203563952715484,0.7648342549932686,-0.7501543533438829,46.15136644183254,4.0949362903798425,37.35224075024817,53.113695743777804,46.6843334879088,-0.7045850710681731,2.2421253513769464,1007.7766666666666,0.035355339059311666,1007.71,1007.81,1007.79,-1.1733931957518178,0.016000000002139678
