t,label,x_kf_acc,y_kf_acc,z_kf_acc,x_kf_lin,y_kf_lin,z_kf_lin,x_kf,y_kf,z_kf,acc_mag,lin_acc_mag,magnetometer_mag,pressure_hpa,x_kf_acc_mean,x_kf_acc_std,x_kf_acc_min,x_kf_acc_max,x_kf_acc_median,x_kf_acc_skew,x_kf_acc_kurt,y_kf_acc_mean,y_kf_acc_std,y_kf_acc_min,y_kf_acc_max,y_kf_acc_median,y_kf_acc_skew,y_kf_acc_kurt,z_kf_acc_mean,z_kf_acc_std,z_kf_acc_min,z_kf_acc_max,z_kf_acc_median,z_kf_acc_skew,z_kf_acc_kurt,x_kf_lin_mean,x_kf_lin_std,x_kf_lin_min,x_kf_lin_max,x_kf_lin_median,x_kf_lin_skew,x_kf_lin_kurt,y_kf_lin_mean,y_kf_lin_std,y_kf_lin_min,y_kf_lin_max,y_kf_lin_median,y_kf_lin_skew,y_kf_lin_kurt,z_kf_lin_mean,z_kf_lin_std,z_kf_lin_min,z_kf_lin_max,z_kf_lin_median,z_kf_lin_skew,z_kf_lin_kurt,x_kf_mean,x_kf_std,x_kf_min,x_kf_max,x_kf_median,x_kf_skew,x_kf_kurt,y_kf_mean,y_kf_std,y_kf_min,y_kf_max,y_kf_median,y_kf_skew,y_kf_kurt,z_kf_mean,z_kf_std,z_kf_min,z_kf_max,z_kf_median,z_kf_skew,z_kf_kurt,acc_mag_mean,acc_mag_std,acc_mag_min,acc_mag_max,acc_mag_median,acc_mag_skew,acc_mag_kurt,lin_acc_mag_mean,lin_acc_mag_std,lin_acc_mag_min,lin_acc_mag_max,lin_acc_mag_median,lin_acc_mag_skew,lin_acc_mag_kurt,magnetometer_mag_mean,magnetometer_mag_std,magnetometer_mag_min,magnetometer_mag_max,magnetometer_mag_median,magnetometer_mag_skew,magnetometer_mag_kurt,pressure_hpa_mean,pressure_hpa_std,pressure_hpa_min,pressure_hpa_max,pressure_hpa_median,pressure_hpa_skew,pressure_hpa_kurt
0,shop,0.06257,4.98516,8.54738,0.11759,0.0376,0.11991,-3.94032,-33.45356,-30.90537,9.895122035371772,0.1721033881130758,45.71442543894542,1007.52,0.06257,0.7351254987422914,0.06257,0.06257,0.06257,-0.11846340971061188,0.6434746844229938,4.98516,0.922518657678887,4.98516,4.98516,4.98516,-0.2027672013230119,0.530066071144363,8.54738,0.35667178856505954,8.54738,8.54738,8.54738,-0.08570547403268025,1.267918964650316,0.11759,0.25729751553596053,0.11759,0.11759,0.11759,-0.09225536735157593,2.342266858181706,0.0376,0.28128881972788417,0.0376,0.0376,0.0376,-1.2411232580114737,3.6840832371807783,0.11991,0.17225697187527908,0.11991,0.11991,0.11991,0.5538494240843889,2.139923616024082,-3.94032,11.837825731788431,-3.94032,-3.94032,-3.94032,0.05731302774109576,-0.2285645648538638,-33.45356,10.573974713106521,-33.45356,-33.45356,-33.45356,0.04851717280860335,0.0612352741717198,-30.90537,5.905235562689605,-30.90537,-30.90537,-30.90537,-0.057140991033732845,-0.207280106151009,9.895122035371772,0.22229741536473385,9.895122035371772,9.895122035371772,9.895122035371772,-0.1971491378448704,3.0141378117395736,0.1721033881130758,0.2586147889468248,0.1721033881130758,0.1721033881130758,0.1721033881130758,1.4092618493184959,2.9043164262581933,45.71442543894542,4.785299149370957,45.71442543894542,45.71442543894542,45.71442543894542,0.1588045542890973,0.47100560115347834,1007.52,0.02007882675625695,1007.52,1007.52,1007.52,-0.03040763425565268,-0.5520830422004124
1,shop,-1.35242,3.39201,9.08234,-0.56104,-0.46623,0.15166,-1.33608,-29.80893,-34.19949,9.788956613046153,0.7450751976143078,45.386810129941935,1007.52,-0.644925,1.0005490243111528,-1.35242,0.06257,-0.644925,-0.11846340971061188,0.6434746844229938,4.188585,1.126527168447348,3.39201,4.98516,4.188585,-0.2027672013230119,0.530066071144363,8.81486,0.378273843663556,8.54738,9.08234,8.81486,-0.08570547403268025,1.267918964650316,-0.221725,0.47986387491662674,-0.56104,0.11759,-0.221725,-0.09225536735157593,2.342266858181706,-0.21431499999999998,0.35626160956521824,-0.46623,0.0376,-0.21431499999999998,-1.2411232580114737,3.6840832371807783,0.135785,0.02245064030267288,0.11991,0.15166,0.135785,0.5538494240843889,2.139923616024082,-2.6382,1.8414757638372545,-3.94032,-1.33608,-2.6382,0.05731302774109576,-0.2285645648538638,-31.631245,2.5771425879159278,-33.45356,-29.80893,-31.631245,0.04851717280860335,0.0612352741717198,-32.55243,2.3292945900422257,-34.19949,-30.90537,-32.55243,-0.057140991033732845,-0.207280106151009,9.842039324208962,0.07507029005397808,9.788956613046153,9.895122035371772,9.842039324208962,-0.1971491378448704,3.0141378117395736,0.4585892928636918,0.4051522519270479,0.1721033881130758,0.7450751976143078,0.4585892928636918,1.4092618493184959,2.9043164262581933,45.55061778444367,0.23165900661688713,45.386810129941935,45.71442543894542,45.55061778444367,0.1588045542890973,0.47100560115347834,1007.52,0.0,1007.52,1007.52,1007.52,-0.03040763425565268,-0.5520830422004124
2,shop,0.80146,3.86898,8.48223,0.63004,-0.41136,-0.13585,-13.04579,-22.81613,-39.12268,9.357327083355587,0.7646062213322621,47.13122654125819,1007.52,-0.16279666666666667,1.0944826926147957,-1.35242,0.80146,0.06257,-0.8873145929024318,0.6434746844229938,4.08205,0.8176679333935015,3.39201,4.98516,3.86898,1.092996669122812,0.530066071144363,8.703983333333333,0.3292817274513325,8.48223,9.08234,8.54738,1.6560832654978146,1.267918964650316,0.06219666666666668,0.5974690013995148,-0.56104,0.63004,0.11759,-0.41362369345754646,2.342266858181706,-0.27999666666666667,0.2764116698573585,-0.46623,0.0376,-0.41136,1.6555827865578727,3.6840832371807783,0.04524,0.15762996764574938,-0.13585,0.15166,0.11991,-1.6533318387612388,2.139923616024082,-6.107396666666666,6.1482918790858765,-13.04579,-1.33608,-3.94032,-1.3890584381358633,-0.2285645648538638,-28.692873333333335,5.405822427127378,-33.45356,-22.81613,-29.80893,0.8894463444957724,0.0612352741717198,-34.742513333333335,4.135480826268371,-39.12268,-30.90537,-34.19949,-0.5806997356779429,-0.207280106151009,9.680468577257837,0.2848387140741715,9.357327083355587,9.895122035371772,9.788956613046153,-1.4653046524417201,3.0141378117395736,0.5605949356865486,0.3365852449586757,0.1721033881130758,0.7646062213322621,0.7450751976143078,-1.7254920642474723,2.9043164262581933,46.077487370048516,0.9271502728142852,45.386810129941935,47.13122654125819,45.71442543894542,1.4919391324093143,0.47100560115347834,1007.52,0.0,1007.52,1007.52,1007.52,0.0,-0.5520830422004124
3,shop,0.30866,6.10516,7.64433,0.67553,-0.03467,0.0269,-12.83204,-26.55472,-38.08185,9.78795334940354,0.6769537648909266,48.16681123203507,1007.51,-0.0449325,0.9242092602643264,-1.35242,0.80146,0.185615,-1.3371676191128172,2.2687558514603694,4.5878274999999995,1.2120082855430485,3.39201,6.10516,4.42707,0.5521715537017472,-1.7022328097746726,8.439070000000001,0.5941385366506148,7.64433,9.08234,8.514804999999999,-0.7451864081157193,1.7557150030954674,0.21553,0.5762151648472991,-0.56104,0.67553,0.373815,-1.0478304800069842,-0.25401601324020895,-0.218665,0.25686942370265353,-0.46623,0.0376,-0.223015,0.02873250261383216,-5.388808296179427,0.040655000000000004,0.12903059081732,-0.13585,0.15166,0.073405,-1.1283149446726397,0.47256392172492667,-7.7885575,6.042036274614572,-13.04579,-1.33608,-8.38618,0.15729458414351422,-5.086906394031093,-28.158335,4.541461107943859,-33.45356,-22.81613,-28.181825,0.025721455968209114,-0.8469397591988166,-35.5773475,3.766863432568932,-39.12268,-30.90537,-36.14067,0.5528089820905436,-2.285321090046045,9.707339770294263,0.23869849758867046,9.357327083355587,9.895122035371772,9.788454981224847,-1.7249844197481472,3.276095642104263,0.5896846429876431,0.280911484930837,0.1721033881130758,0.7646062213322621,0.7110144812526172,-1.8960986692411887,3.6209496563031713,46.59981833554515,1.290112515372082,45.386810129941935,48.16681123203507,46.4228259901018,0.47157394097522515,-2.8045072074015955,1007.5174999999999,0.004999999999976505,1007.51,1007.52,1007.52,-2.000000000056048,4.000000347226397
4,shop,-0.34986,6.12113,7.64251,-0.21109,0.03343,-0.0665,-13.38374,-32.20149,-32.82056,9.797887200646882,0.2238276189392185,47.88788587232997,1007.52,-0.105918,0.8119225477962784,-1.35242,0.80146,0.06257,-0.8782572609426542,0.9915620937621435,4.894488,1.2537648800592558,3.39201,6.12113,4.98516,-0.17956078431067166,-2.630393352770355,8.279758,0.6258210744853523,7.64251,9.08234,8.48223,0.04946614407321587,-1.8909667495770002,0.130206,0.5342460688016337,-0.56104,0.67553,0.11759,-0.22681630818095738,-1.9738339786012549,-0.16824599999999998,0.2493928696454652,-0.46623,0.0376,-0.03467,-0.5780698627162891,-3.1059466556852975,0.019224,0.1215858085057627,-0.13585,0.15166,0.0269,-0.23532740288077494,-2.0359495064382975,-8.907594,5.8000745856824985,-13.38374,-1.33608,-12.83204,0.7167182946539805,-2.668272093822335,-28.966966000000003,4.328749498068698,-33.45356,-22.81613,-29.80893,0.6266508309774629,-0.9498372167929491,-35.02599,3.4873945222400633,-39.12268,-30.90537,-34.19949,-0.15750678207036622,-2.2423972692745218,9.725449256364787,0.21064780319768078,9.357327083355587,9.895122035371772,9.788956613046153,-1.966795041790052,4.222374577068645,0.5165132381779582,0.2931786472164196,0.1721033881130758,0.7646062213322621,0.6769537648909266,-0.5718605685436567,-3.1629880478936823,46.857431842902116,1.257026778793332,45.386810129941935,48.16681123203507,47.13122654125819,-0.2756991071590245,-2.764842537417078,1007.518,0.004472135954987568,1007.51,1007.52,1007.52,-2.236067979522282,5.00000087211117
5,shop,-0.57536,6.97918,6.77566,0.23278,0.01433,-0.06542,-8.44865,-39.27449,-25.26805,9.7442065370968,0.24222232287714524,47.45882006945706,1007.52,-0.18415833333333334,0.7510684905231124,-1.35242,0.80146,-0.143645,-0.401283838437834,0.11472984115601055,5.241936666666667,1.4077871129494923,3.39201,6.97918,5.545159999999999,-0.2548325625155504,-1.7000341170719928,8.029075,0.8308871239524663,6.77566,9.08234,8.063279999999999,-0.35727949188789143,-0.5845760119966101,0.14730166666666666,0.47967557842427905,-0.56104,0.67553,0.17518499999999998,-0.3831536133974808,-0.9549360383960467,-0.13781666666666667,0.2351873906200472,-0.46623,0.0376,-0.010169999999999998,-0.9420498769368966,-1.7456281748815237,0.005116666666666668,0.11410779196297974,-0.13585,0.15166,-0.019260000000000003,0.23231412965586168,-1.7866883260885082,-8.831103333333333,5.191126765174076,-13.38374,-1.33608,-10.640345,0.6536696579417934,-1.691298259146274,-30.684886666666667,5.718213556294192,-39.27449,-22.81613,-31.005209999999998,-0.1606517451195164,0.056969944748062794,-33.39966666666667,5.0595555091595426,-39.12268,-25.26805,-33.510025,0.608702578598183,0.12161273776347296,9.728575469820122,0.18856467552809833,9.357327083355587,9.895122035371772,9.788454981224847,-2.0484740483899193,4.720603768801119,0.47079808562782266,0.2851354526940009,0.1721033881130758,0.7646062213322621,0.45958804388403596,0.0142626195760841,-3.1442691212339224,46.95766321399461,1.1508132014316295,45.386810129941935,48.16681123203507,47.295023305357624,-0.6090035600275406,-1.689010819448961,1007.5183333333333,0.0040824829046363096,1007.51,1007.52,1007.52,-2.4494897417284034,5.999999856033969
6,shop,-0.1427,6.77306,7.07093,0.1502,-0.02509,0.00574,-10.80877,-37.50271,-25.67316,9.792484675428396,0.15238928997800336,46.71609905206769,1007.53,-0.17823571428571428,0.6858076307988302,-1.35242,0.80146,-0.1427,-0.44617815768631575,0.7333413275154577,5.460668571428571,1.4094180782439796,3.39201,6.97918,6.10516,-0.5562825957901898,-1.4466147187280989,7.8921971428571425,0.8405117558510474,6.77566,9.08234,7.64433,0.07692781183450527,-1.352661943312698,0.14771571428571426,0.43788326126404753,-0.56104,0.67553,0.1502,-0.39570980464974836,-0.3138238868803477,-0.12171285714285714,0.21888258501719482,-0.46623,0.0376,-0.02509,-1.1867289282474647,-0.7570042964569851,0.005205714285714287,0.10416595250802808,-0.13585,0.15166,0.00574,0.23392935503777415,-1.116876727908202,-9.113627142857142,4.79741967075953,-13.38374,-1.33608,-10.80877,0.8754619476406457,-0.865929212755239,-31.65886142857143,5.821399581482185,-39.27449,-22.81613,-32.20149,0.21709711971591708,-0.7899173068700677,-32.295880000000004,5.464521936741891,-39.12268,-25.26805,-32.82056,0.17354516513623558,-1.3843454958113994,9.73770535633559,0.17382178951063093,9.357327083355587,9.895122035371772,9.788956613046153,-2.2432579396351646,5.633695706990734,0.4253111148207056,0.2867669906241477,0.15238928997800336,0.7646062213322621,0.24222232287714524,0.36422022364309464,-2.6295110383059455,46.92315404800505,1.0545040058018564,45.386810129941935,48.16681123203507,47.13122654125819,-0.4809666474396915,-1.2294834067222857,1007.5199999999999,0.005773502691927381,1007.51,1007.53,1007.52,-1.4906443237321125e-10,2.9999998859426413
7,shop,-0.70624,6.83523,7.23322,-0.22426,-0.06299,0.28027,-6.69038,-37.86023,-25.40279,9.976904111942742,0.36443320457938516,46.08101496257868,1007.4884464285715,-0.24423625,0.6618084097798675,-1.35242,0.80146,-0.24628,-0.10161259924280852,0.21863457190973273,5.63248875,1.392428384744103,3.39201,6.97918,6.113144999999999,-0.7841440193804733,-1.0487274576971448,7.809825,0.8122921347995091,6.77566,9.08234,7.64342,0.3750917935775189,-1.217193889900092,0.10121875,0.42619926484610127,-0.56104,0.67553,0.133895,-0.03859738852689352,-0.7394482724737268,-0.11437249999999999,0.2037066670309471,-0.46623,0.0376,-0.02988,-1.3414473145400831,-0.02126564747592378,0.039588750000000006,0.13695989511401818,-0.13585,0.28027,0.01632,0.5987152747963727,-0.26972612638367366,-8.81072125,4.523423543232454,-13.38374,-1.33608,-9.628710000000002,0.6135264131870715,-1.017592666589985,-32.4340325,5.818468246670007,-39.27449,-22.81613,-32.827525,0.4833877092686784,-0.8565294582888602,-31.43424375,5.6155568800608044,-39.12268,-25.26805,-31.862965000000003,-0.13641774578365,-1.66598820758606,9.767605200786484,0.1817958533829236,9.357327083355587,9.976904111942742,9.790720644237275,-1.8314583394004,4.679805256625891,0.4177013760405406,0.2663656714343518,0.15238928997800336,0.7646062213322621,0.3033277637282652,0.48304241389830005,-2.0770319415874865,46.81788666232675,1.0206734925539105,45.386810129941935,48.16681123203507,46.92366279666294,-0.12574984870367872,-1.4970323261818643,1007.5199999999999,0.005773502691927381,1007.51,1007.53,1007.52,-1.4906443237321125e-10,2.9999998859426413
8,shop,1.66597,3.27315,7.67539,0.02093,-0.82831,-0.68562,-14.37911,-27.17646,-30.26298,8.508852955334227,1.0754581839383621,43.141241764744095,1007.53,-0.03199111111111111,0.8880729506555816,-1.35242,1.66597,-0.1427,0.6223053045488864,0.6617624751179663,5.370340000000001,1.521511554326815,3.27315,6.97918,6.10516,-0.4343844889587819,-1.7949895084272343,7.794887777777777,0.7611499745086019,6.77566,9.08234,7.64433,0.4594804362389192,-0.7840463242095417,0.09229777777777777,0.39957019457717874,-0.56104,0.67553,0.11759,0.045307167953637685,-0.36320351112938726,-0.1936988888888889,0.30486626442771775,-0.82831,0.0376,-0.03467,-1.3725311723661946,0.9816744045615499,-0.04099,0.27358668795283153,-0.68562,0.28027,0.00574,-1.7569926792823025,4.296815810549846,-9.42943111111111,4.620487800293505,-14.37911,-1.33608,-10.80877,0.724379353132186,-0.8048787709072026,-31.849857777777782,5.717874788771563,-39.27449,-22.81613,-32.20149,0.15909391220475627,-1.235585144375423,-31.304103333333337,5.267361573074324,-39.12268,-25.26805,-30.90537,-0.23302397158459542,-1.2763891891115264,9.627743840180678,0.45273537246761303,8.508852955334227,9.976904111942742,9.788956613046153,-2.3199965753885246,5.602281694448531,0.49078546580696525,0.3318936496028814,0.15238928997800336,1.0754581839383621,0.36443320457938516,0.5968762112200974,-1.0296960035417746,46.40937056259534,1.5535511625819614,43.141241764744095,48.16681123203507,46.71609905206769,-1.1197904101366405,1.46279815180467,1007.52125,0.006408699444659406,1007.51,1007.53,1007.52,-0.06784256531856266,0.7410209186808895
9,shop,0.62701,0.82041,9.34862,0.03963,-0.18445,-0.17401,-14.32416,-7.9658,-38.72366,9.405472343938927,0.2566550593695749,42.04946341085936,1007.55,0.033909,0.862827570226713,-1.35242,1.66597,-0.040064999999999996,0.3612434665839426,0.27819497575581764,4.915347,2.031738609172231,0.82041,6.97918,5.545159999999999,-0.8621054268459423,0.05134466458556476,7.950261,0.869704273244009,6.77566,9.34862,7.65986,0.38024104940508086,-1.1109679575187397,0.087031,0.3770863780341169,-0.56104,0.67553,0.07861,0.0985857192941444,-0.010029876314559618,-0.192774,0.28744555063911187,-0.82831,0.0376,-0.04883,-1.4271922424118322,1.4149092127983534,-0.05429199999999999,0.26134742626966456,-0.68562,0.28027,-0.029840000000000002,-1.5691231419475775,3.8204848634043804,-9.918904000000001,4.6230556742800895,-14.37911,-1.33608,-11.820405000000001,0.8588082067688566,-0.5636448982723005,-29.461452,9.279344631669009,-39.27449,-7.9658,-31.005209999999998,1.4115913618051223,2.557535965644863,-32.046059,5.492475889279908,-39.12268,-25.26805,-31.862965000000003,-0.009994004440574876,-1.5657771715167226,9.605516690556502,0.432591505554926,8.508852955334227,9.976904111942742,9.788454981224847,-2.1242343748795114,4.903717957470617,0.4673724251632262,0.32155222483558743,0.15238928997800336,1.0754581839383621,0.31054413197448005,0.7871726017412356,-0.7048122845535946,45.97337984742175,2.0115246029003537,42.04946341085936,48.16681123203507,46.398557007323184,-1.03310941325275,0.260993845609229,1007.5244444444444,0.011303883305240719,1007.51,1007.55,1007.52,1.511051103361965,3.2033486501103736
